time,x,y
1722679750.7961779,348.00,"363.00
"
1722679750.898601,348.00,"363.00
"
1722679751.002489,323.00,"347.00
"
1722679751.1052039,342.00,"361.00
"
1722679751.206649,342.00,"361.00
"
1722679751.3086898,335.00,"361.00
"
1722679751.409162,335.00,"361.00
"
1722679751.51343,335.00,"352.00
"
1722679751.613837,335.00,"352.00
"
1722679751.719271,335.00,"352.00
"
1722679751.822289,335.00,"352.00
"
1722679751.927548,335.00,"352.00
"
1722679752.0326662,340.00,"352.00
"
1722679752.1378639,340.00,"352.00
"
1722679752.2432818,332.00,"337.00
"
1722679752.34499,332.00,"342.00
"
1722679752.445812,332.00,"342.00
"
1722679752.551234,325.00,"352.00
"
1722679752.6556191,325.00,"352.00
"
1722679752.7590442,323.00,"352.00
"
1722679752.8625169,323.00,"352.00
"
1722679752.963423,323.00,"352.00
"
1722679753.068327,337.00,"373.00
"
1722679753.172471,337.00,"373.00
"
1722679753.27356,340.00,"356.00
"
1722679753.377707,340.00,"356.00
"
1722679753.483275,340.00,"363.00
"
1722679753.584862,340.00,"363.00
"
1722679753.687663,340.00,"363.00
"
1722679753.7885618,356.00,"363.00
"
1722679753.8928928,356.00,"363.00
"
1722679753.9974642,353.00,"358.00
"
1722679754.107185,353.00,"358.00
"
1722679754.2126021,353.00,"358.00
"
1722679754.313662,337.00,"352.00
"
1722679754.417932,337.00,"352.00
"
1722679754.523166,330.00,"352.00
"
1722679754.62819,330.00,"352.00
"
1722679754.732607,346.00,"352.00
"
1722679754.838162,335.00,"350.00
"
1722679754.9435022,335.00,"350.00
"
1722679755.0453608,337.00,"356.00
"
1722679755.147609,337.00,"356.00
"
1722679755.252894,327.00,"358.00
"
1722679755.3583841,327.00,"358.00
"
1722679755.463111,335.00,"342.00
"
1722679755.568484,351.00,"350.00
"
1722679755.6727319,351.00,"350.00
"
1722679755.778358,340.00,"345.00
"
1722679755.8823,340.00,"345.00
"
1722679755.986795,346.00,"347.00
"
1722679756.092316,342.00,"358.00
"
1722679756.194326,342.00,"358.00
"
1722679756.2995698,332.00,"350.00
"
1722679756.4048371,332.00,"350.00
"
1722679756.5104792,345.00,"350.00
"
1722679756.611113,345.00,"350.00
"
1722679756.716105,345.00,"350.00
"
1722679756.821384,340.00,"332.00
"
1722679756.924416,340.00,"332.00
"
1722679757.026453,337.00,"337.00
"
1722679757.131619,337.00,"337.00
"
1722679757.2324228,337.00,"350.00
"
1722679757.3335092,346.00,"361.00
"
1722679757.4361951,346.00,"361.00
"
1722679757.5366158,340.00,"361.00
"
1722679757.637162,340.00,"361.00
"
1722679757.739808,361.00,"356.00
"
1722679757.841642,361.00,"356.00
"
1722679757.9434738,361.00,"356.00
"
1722679758.0472052,361.00,"356.00
"
1722679758.152649,361.00,"356.00
"
1722679758.257814,345.00,"358.00
"
1722679758.362992,345.00,"358.00
"
1722679758.468411,332.00,"356.00
"
1722679758.5720131,332.00,"356.00
"
1722679758.674211,332.00,"356.00
"
1722679758.775181,345.00,"363.00
"
1722679758.8774788,345.00,"363.00
"
1722679758.981616,332.00,"356.00
"
1722679759.0866911,332.00,"356.00
"
1722679759.1909592,332.00,"356.00
"
1722679759.295588,330.00,"347.00
"
1722679759.398325,330.00,"347.00
"
1722679759.502569,327.00,"355.00
"
1722679759.6032598,327.00,"355.00
"
1722679759.70382,340.00,"350.00
"
1722679759.8049679,340.00,"350.00
"
1722679759.905715,330.00,"352.00
"
1722679760.008652,332.00,"356.00
"
1722679760.113379,332.00,"356.00
"
1722679760.2186902,346.00,"352.00
"
1722679760.321952,346.00,"352.00
"
1722679760.4225762,346.00,"352.00
"
1722679760.526885,330.00,"345.00
"
1722679760.632409,330.00,"345.00
"
1722679760.737705,335.00,"345.00
"
1722679760.838895,335.00,"345.00
"
1722679760.943737,348.00,"358.00
"
1722679761.044271,348.00,"358.00
"
1722679761.1487591,348.00,"358.00
"
1722679761.252682,346.00,"355.00
"
1722679761.353229,346.00,"355.00
"
1722679761.458627,346.00,"366.00
"
1722679761.5604322,346.00,"366.00
"
1722679761.6656902,337.00,"347.00
"
1722679761.767224,340.00,"355.00
"
1722679761.868526,340.00,"355.00
"
1722679761.970707,337.00,"345.00
"
1722679762.0758982,337.00,"345.00
"
1722679762.181178,330.00,"355.00
"
1722679762.286423,330.00,"355.00
"
1722679762.391891,330.00,"355.00
"
1722679762.4927318,337.00,"350.00
"
1722679762.595055,337.00,"350.00
"
1722679762.696152,345.00,"361.00
"
1722679762.801478,345.00,"361.00
"
1722679762.902642,345.00,"361.00
"
1722679763.0032709,345.00,"363.00
"
1722679763.107509,345.00,"363.00
"
1722679763.212383,342.00,"366.00
"
1722679763.3132951,342.00,"366.00
"
1722679763.4148421,332.00,"352.00
"
1722679763.5153742,332.00,"352.00
"
1722679763.6207628,332.00,"352.00
"
1722679763.726451,335.00,"361.00
"
1722679763.830884,335.00,"361.00
"
1722679763.933548,345.00,"363.00
"
1722679764.038146,345.00,"363.00
"
1722679764.140413,345.00,"363.00
"
1722679764.242857,345.00,"363.00
"
1722679764.348202,345.00,"363.00
"
1722679764.450059,351.00,"363.00
"
1722679764.552765,351.00,"363.00
"
1722679764.6577358,340.00,"361.00
"
1722679764.759122,340.00,"361.00
"
1722679764.8643131,340.00,"361.00
"
1722679764.969621,342.00,"352.00
"
1722679765.072754,342.00,"352.00
"
1722679765.175244,335.00,"358.00
"
1722679765.276425,335.00,"358.00
"
1722679765.377524,335.00,"358.00
"
1722679765.482908,335.00,"358.00
"
1722679765.587389,335.00,"358.00
"
1722679765.6931012,330.00,"356.00
"
1722679765.793684,330.00,"356.00
"
1722679765.894977,332.00,"350.00
"
1722679765.996182,332.00,"350.00
"
1722679766.1015759,327.00,"350.00
"
1722679766.202882,337.00,"356.00
"
1722679766.305183,337.00,"356.00
"
1722679766.410341,332.00,"355.00
"
1722679766.515525,332.00,"355.00
"
1722679766.621001,332.00,"355.00
"
1722679766.7227771,325.00,"358.00
"
1722679766.8231192,325.00,"358.00
"
1722679766.924441,332.00,"355.00
"
1722679767.027502,332.00,"355.00
"
1722679767.1326988,340.00,"361.00
"
1722679767.2380722,340.00,"361.00
"
1722679767.339799,340.00,"361.00
"
1722679767.443276,323.00,"352.00
"
1722679767.5454998,323.00,"352.00
"
1722679767.6496398,325.00,"356.00
"
1722679767.750998,325.00,"356.00
"
1722679767.853293,337.00,"342.00
"
1722679767.953739,358.00,"355.00
"
1722679768.0557818,358.00,"355.00
"
1722679768.161332,340.00,"342.00
"
1722679768.261684,340.00,"342.00
"
1722679768.36236,337.00,"345.00
"
1722679768.467686,337.00,"345.00
"
1722679768.572226,337.00,"345.00
"
1722679768.676346,337.00,"345.00
"
1722679768.780258,337.00,"345.00
"
1722679768.8828878,346.00,"358.00
"
1722679768.985031,346.00,"358.00
"
1722679769.0873358,335.00,"342.00
"
1722679769.191046,345.00,"352.00
"
1722679769.2936928,345.00,"352.00
"
1722679769.3959832,337.00,"345.00
"
1722679769.499611,337.00,"345.00
"
1722679769.600876,327.00,"350.00
"
1722679769.704352,327.00,"350.00
"
1722679769.809935,327.00,"350.00
"
1722679769.912884,332.00,"352.00
"
1722679770.0162811,332.00,"352.00
"
1722679770.118746,346.00,"347.00
"
1722679770.222794,346.00,"347.00
"
1722679770.3265479,346.00,"355.00
"
1722679770.4282591,346.00,"355.00
"
1722679770.53245,346.00,"355.00
"
1722679770.634301,335.00,"358.00
"
1722679770.737499,335.00,"358.00
"
1722679770.8396711,330.00,"352.00
"
1722679770.9425821,330.00,"352.00
"
1722679771.046865,330.00,"352.00
"
1722679771.147716,335.00,"347.00
"
1722679771.2528691,335.00,"347.00
"
1722679771.354414,335.00,"352.00
"
1722679771.455193,335.00,"352.00
"
1722679771.559097,323.00,"361.00
"
1722679771.664423,332.00,"366.00
"
1722679771.766874,332.00,"366.00
"
1722679771.872401,346.00,"361.00
"
1722679771.974524,346.00,"361.00
"
1722679772.0797482,332.00,"366.00
"
1722679772.185032,332.00,"366.00
"
1722679772.290394,327.00,"340.00
"
1722679772.3923001,327.00,"358.00
"
1722679772.497461,327.00,"358.00
"
1722679772.599898,323.00,"355.00
"
1722679772.7027369,323.00,"355.00
"
1722679772.804468,330.00,"356.00
"
1722679772.905046,325.00,"352.00
"
1722679773.007436,325.00,"352.00
"
1722679773.1129322,330.00,"350.00
"
1722679773.2145941,330.00,"350.00
"
1722679773.319277,323.00,"361.00
"
1722679773.4216352,323.00,"361.00
"
1722679773.522186,323.00,"361.00
"
1722679773.624233,337.00,"345.00
"
1722679773.7254348,337.00,"345.00
"
1722679773.830933,327.00,"356.00
"
1722679773.934565,327.00,"356.00
"
1722679774.0392761,335.00,"355.00
"
1722679774.1432178,327.00,"352.00
"
1722679774.243501,327.00,"352.00
"
1722679774.3456268,335.00,"352.00
"
1722679774.451175,335.00,"352.00
"
1722679774.5566232,337.00,"355.00
"
1722679774.6576698,337.00,"355.00
"
1722679774.758529,337.00,"355.00
"
1722679774.8639019,337.00,"355.00
"
1722679774.965248,337.00,"355.00
"
1722679775.0683851,346.00,"363.00
"
1722679775.170528,346.00,"363.00
"
1722679775.2757561,332.00,"347.00
"
1722679775.381253,332.00,"347.00
"
1722679775.4855008,332.00,"347.00
"
1722679775.59057,342.00,"352.00
"
1722679775.692093,342.00,"352.00
"
1722679775.796227,332.00,"350.00
"
1722679775.899067,332.00,"350.00
"
1722679776.00047,332.00,"350.00
"
1722679776.101166,340.00,"352.00
"
1722679776.206532,340.00,"352.00
"
1722679776.310838,340.00,"363.00
"
